6006396,1999,14606,1998,"US","CT",738892,2,,15,6,69,10,0,0.8,,0.5313,,24.4,0,0,,,0	
6006403,1999,14606,1998,"US","AZ",,1,,16,5,59,7,0,1,,0.7347,,12.4286,,,,,0	
6006410,1999,14606,1999,"US","CA",741187,2,,29,5,52,1,0,0,,,,55,0,0,,,0	
6006417,1999,14606,1999,"US","GA",470080,2,,29,5,52,2,0,1,,0,,26,0,0,,,0	
6006424,1999,14606,1998,"KR","",491030,3,,29,5,52,5,0,1,,0.32,,4.2,0,0,,,0	
6006431,1999,14606,1997,"DE","",692713,3,,29,5,52,14,0,0.8571,,0.7639,,16.2143,0,0,,,0	
6006438,1999,14606,1998,"US","GA",78235,2,,33,6,69,10,0,0.9,,0.8148,,14.4,0,0,,,0	
6006445,1999,14606,1998,"US","OH",,1,,34,1,19,14,0,0.8571,,0.4861,,16.9286,,,,,0	
6006452,1999,14606,1997,"FR","",490355,3,,36,6,63,7,0,1,,0,,7.5714,0.4286,0.4286,,,0	
6006459,1999,14606,1997,"US","OH",,1,,40,6,69,11,0,0.7273,,0.2188,,23.8182,,,,,2	
6006466,1999,14606,1998,"US","TX",,1,,43,6,61,26,0,0.4615,,0,,49.9615,,,,,3	
6006473,1999,14606,1998,"US","IN",44450,2,,49,5,59,22,0,1,,0.3182,,11.8182,0,0,,,1	
6006480,1999,14606,1998,"US","CA",,1,,52,6,69,8,0,1,,0.5625,,15.125,,,,,0	
6006487,1999,14606,1998,"US","CA",515355,2,,52,6,69,14,0,0.7143,,0,,24.7143,0.5,0.2857,,,8	
6006494,1999,14606,1998,"IT","",746196,3,,53,6,68,7,0,0.7143,,0,,18.7143,0,0,,,0	
6006501,1999,14606,1998,"US","CA",725629,2,,53,6,68,29,0,1,,0.1902,,10.2759,0,0,,,1	
6006508,1999,14606,1998,"JP","",565245,3,,57,6,63,3,0,1,,0,,9,0,0,,,0	
6006515,1999,14606,1997,"JP","",318570,3,,60,4,45,6,0,1,,0.2778,,7.8333,0,0,,,0	
6006522,1999,14606,1998,"US","CO",722905,2,,60,4,45,18,0,1,,0.6605,,16.8889,0,0,,,0	
6006529,1999,14606,1998,"KR","",491065,3,,62,6,69,5,0,1,,0.32,,4.8,0.2,0.2,,,0	
6006536,1999,14606,1998,"US","WA",637385,2,,62,6,69,11,0,1,,0.4298,,14.7273,0,0,,,2	
6006543,1999,14606,1998,"US","AR",551495,2,,62,6,69,39,0,0.8205,,0.7784,,16.7436,0.0345,0.0256,,,1	
6006550,1999,14606,1998,"US","CA",763009,2,,66,6,63,35,0,0.9429,,0.2645,,14.4,0,0,,,1	
